Designator,Mid X,Mid Y,Rotation,Layer
C1,136.75,-67.45,270.0,top
C10,148.8,-78.6,180.0,top
C101,77.875,-126.425,0.0,top
C103,110.125,-125.7375,0.0,bottom
C104,110.125,-127.3625,0.0,bottom
C105,98.125,-123.2,90.0,top
C108,109.915,-120.42,270.0,top
C109,109.915,-126.795,270.0,top
C11,186.8,-66.85,0.0,top
C111,119.275,-125.1875,90.0,bottom
C112,117.65,-125.1875,90.0,bottom
C113,115.85,-118.9125,270.0,bottom
C114,117.625,-118.9125,270.0,bottom
C115,107.575,-120.0625,90.0,bottom
C116,109.225,-120.0625,90.0,bottom
C118,111.49,-120.42,270.0,top
C119,111.515,-126.795,270.0,top
C12,154.425,-67.925,90.0,bottom
C120,114.225,-120.4625,90.0,bottom
C121,117.65,-122.0375,90.0,bottom
C122,102.95,-121.1875,180.0,bottom
C123,102.85,-126.4875,0.0,bottom
C124,115.85,-128.3125,270.0,bottom
C125,115.85,-125.1625,270.0,bottom
C126,119.4,-117.1125,270.0,bottom
C127,80.585,-107.625,180.0,top
C128,80.585,-105.95,180.0,top
C13,188.15,-68.8,90.0,bottom
C14,164.0,-71.1,180.0,bottom
C15,198.8,-72.07,180.0,bottom
C16,148.85,-66.85,180.0,top
C17,199.8,-76.3,270.0,top
C18,163.25,-66.85,180.0,top
C19,186.75,-78.6,0.0,top
C2,119.225,-76.675,90.0,top
C20,164.005,-75.675,180.0,bottom
C201,77.875,-72.275,0.0,top
C202,110.125,-124.0625,0.0,bottom
C203,110.0,-83.875,0.0,bottom
C204,110.003,-85.5,0.0,bottom
C205,98.125,-75.7,270.0,top
C208,109.85,-81.05,270.0,top
C209,109.85,-87.3,270.0,top
C21,198.8,-76.6,180.0,bottom
C210,115.85,-122.0375,90.0,bottom
C211,119.275,-84.725,90.0,bottom
C212,117.6,-84.725,90.0,bottom
C213,115.7,-78.55,270.0,bottom
C214,117.625,-78.525,270.0,bottom
C215,109.15,-78.2,90.0,bottom
C216,107.475,-78.2,90.0,bottom
C217,115.7,-81.65,90.0,bottom
C218,111.475,-81.05,270.0,top
C219,111.45,-87.275,270.0,top
C22,115.8,-104.828,90.0,bottom
C220,112.5,-83.45,90.0,bottom
C221,117.6,-81.65,90.0,bottom
C222,102.8,-81.7,180.0,bottom
C223,102.775,-86.9,0.0,bottom
C224,115.675,-87.9,270.0,bottom
C225,115.675,-84.75,270.0,bottom
C226,119.225,-76.675,270.0,bottom
C227,80.5,-84.5,180.0,top
C228,80.5,-86.175,180.0,top
C229,85.825,-81.31,0.0,bottom
C23,117.35,-93.65,270.0,bottom
C230,85.825,-82.89,0.0,bottom
C231,82.6,-85.25,180.0,bottom
C232,82.6,-86.85,180.0,bottom
C233,89.125,-82.325,90.0,bottom
C234,85.825,-96.7,0.0,bottom
C235,85.825,-98.25,0.0,bottom
C236,90.15,-94.75,0.0,bottom
C237,82.675,-100.625,180.0,bottom
C238,82.675,-102.25,180.0,bottom
C239,89.125,-97.5,90.0,bottom
C24,115.551,-93.652,90.0,bottom
C240,90.15,-110.125,0.0,bottom
C241,114.275,-104.825,270.0,bottom
C25,117.35,-104.825,270.0,bottom
C26,119.125,-104.8,270.0,bottom
C27,176.911,-73.0055,0.0,bottom
C28,176.911,-75.1645,0.0,bottom
C29,80.6,-101.8,0.0,top
C3,136.225,-106.65,90.0,top
C30,80.585,-103.375,180.0,top
C31,119.22,-117.205,90.0,top
C319,110.875,-120.0625,90.0,bottom
C32,119.125,-93.65,270.0,bottom
C320,110.8,-78.2,90.0,bottom
C321,110.0,-82.2,0.0,bottom
C4,136.15,-121.125,90.0,top
C5,136.575,-81.725,270.0,top
C6,163.25,-78.6,180.0,top
C7,176.925,-76.745,180.0,bottom
C8,174.1,-68.316,0.0,bottom
C9,174.1,-70.475,0.0,bottom
D1,130.157,-104.475,0.0,top
D2,130.2,-95.625,0.0,top
J1,190.923,-112.005,0.0,top
J101,64.26,-126.53,0.0,top
J2,148.92,-112.005,0.0,top
J201,64.725,-72.365,0.0,top
J202,65.34375,-99.55,270.0,top
J3,200.775,-108.21,0.0,top
J4,200.2,-125.9,0.0,top
L1,175.05,-78.6,270.0,top
L2,175.05,-66.85,90.0,top
Q1,157.6,-73.4,180.0,bottom
Q101,94.4375,-118.775,0.0,top
Q102,90.3125,-118.775,0.0,top
Q2,191.3,-74.35,180.0,bottom
Q201,94.4875,-80.625,0.0,top
Q202,90.3125,-80.625,0.0,top
R1,123.3,-104.0,90.0,bottom
R101,81.25,-124.2,270.0,top
R102,82.8,-124.2,270.0,top
R103,82.8,-128.375,90.0,top
R104,110.125,-122.4375,180.0,bottom
R105,107.075,-122.4375,180.0,bottom
R106,96.125,-110.35,0.0,bottom
R107,96.125,-108.65,0.0,bottom
R108,96.125,-112.125,0.0,bottom
R109,98.14,-119.825,90.0,top
R110,96.125,-113.825,180.0,bottom
R111,101.766,-115.67,0.0,top
R112,101.766,-113.995,0.0,top
R113,101.766,-112.32,0.0,top
R114,101.766,-117.32,0.0,top
R115,102.465,-131.245,0.0,top
R116,102.49,-136.07,0.0,top
R117,102.465,-134.445,0.0,top
R118,102.465,-132.845,0.0,top
R119,107.49,-121.17,0.0,top
R120,107.39,-126.045,0.0,top
R121,110.69,-122.795,0.0,top
R122,110.69,-124.37,0.0,top
R123,112.6,-120.0625,90.0,bottom
R124,116.742272,-116.4875,0.0,bottom
R125,117.66,-117.205,270.0,top
R126,116.75,-114.9125,0.0,bottom
R127,80.585,-109.3,180.0,top
R2,125.975,-104.475,180.0,top
R201,81.25,-70.325,270.0,top
R202,82.85,-70.325,270.0,top
R203,82.85,-74.15,90.0,top
R204,110.0,-80.55,180.0,bottom
R205,110.0,-87.1,180.0,bottom
R206,95.625,-87.375,180.0,top
R207,95.625,-85.8,180.0,top
R208,95.625,-88.925,180.0,top
R209,98.125,-78.75,270.0,top
R210,95.625,-90.5,0.0,top
R211,101.725,-75.825,0.0,top
R212,101.75,-74.175,0.0,top
R213,101.766,-72.55,0.0,top
R214,101.725,-77.425,0.0,top
R215,102.0,-92.15,0.0,top
R216,102.0,-96.95,0.0,top
R217,102.0,-95.35,0.0,top
R218,102.0,-93.75,0.0,top
R219,107.55,-81.8,0.0,top
R220,107.4,-86.55,0.0,top
R221,110.625,-83.375,0.0,top
R222,110.625,-84.975,0.0,top
R223,112.5,-80.35,90.0,bottom
R224,116.625,-76.15,0.0,bottom
R225,117.68,-76.675,270.0,top
R226,116.65,-74.55,0.0,bottom
R227,92.25,-82.325,270.0,bottom
R228,80.5,-87.85,180.0,top
R229,90.675,-82.325,270.0,bottom
R230,87.1,-94.75,180.0,bottom
R232,79.525,-85.25,180.0,bottom
R233,79.525,-86.85,180.0,bottom
R234,79.525,-88.45,180.0,bottom
R235,82.6,-88.45,0.0,bottom
R236,79.525,-103.9,180.0,bottom
R237,82.675,-103.9,0.0,bottom
R238,79.525,-100.628141,180.0,bottom
R239,79.525,-102.25,180.0,bottom
R240,92.175,-97.5,270.0,bottom
R241,90.65,-97.5,270.0,bottom
R243,87.1,-110.125,180.0,bottom
R3,126.018,-95.625,180.0,top
R310,110.125,-128.9125,180.0,bottom
R311,110.0,-88.65,180.0,bottom
R312,96.19,-102.77,0.0,bottom
R314,96.19,-89.36,0.0,bottom
R4,164.0,-73.4,180.0,bottom
R5,198.8,-74.35,180.0,bottom
R6,110.125,-130.5125,180.0,bottom
RV101,80.27,-114.06,270.0,top
RV201,80.27,-93.175,270.0,top
SW1,128.775,-99.9,0.0,top
SW101,90.025,-126.9,90.0,top
SW102,88.887,-110.745,90.0,top
SW103,110.945,-104.16,180.0,top
SW104,111.056166,-134.281166,180.0,top
SW105,110.945,-112.9,180.0,top
SW2,104.465,-95.01,180.0,bottom
SW201,89.975,-72.725,90.0,top
SW202,88.887,-88.913,90.0,top
SW203,110.945,-64.76,180.0,top
SW204,110.945,-93.79,180.0,top
SW205,110.945,-73.512681,180.0,top
U1,128.525,-99.9,180.0,bottom
U101,102.965,-123.845,90.0,top
U102,116.9525,-123.895,270.0,top
U2,129.175,-127.623,270.0,top
U201,102.87,-84.328,90.0,top
U202,116.8625,-83.425,270.0,top
U203,88.887,-88.913,270.0,bottom
U204,88.85,-104.255,270.0,bottom
U3,129.175,-113.145,270.0,top
U4,129.175,-86.85,270.0,top
U5,129.175,-72.372,270.0,top
U6,173.211,-73.777,270.0,bottom
U7,117.063,-99.302,0.0,bottom
Y1,108.925,-106.6,0.0,bottom
